Country,Survey,Pop Class,Foodex L1,Metrics,Nr Subjetcs,Nr Consumers,Mean,STD,P5,P10,Median,P95,P97.5,P99,Comment
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Milk and dairy products,A.01.000948,67,66,131.02,141.10,10.00,15.00,77.50,476.00,557.50,618.50,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Eggs and egg products,A.01.001252,67,7,3.13,9.25,0.00,0.00,0.00,30.00,30.00,30.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Sugar and confectionary,A.01.001267,67,45,10.63,14.88,0.00,0.00,6.50,50.00,61.50,66.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Animal and vegetable fats and oils,A.01.001346,67,60,17.36,12.87,0.00,0.00,15.66,37.13,49.96,55.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Fruit and vegetable juices,A.01.001394,67,28,53.43,98.55,0.00,0.00,0.00,187.50,500.00,500.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Non-alcoholic beverages (excepting milk based beve,A.01.001470,67,67,469.22,336.52,171.00,180.00,370.00,965.00,1.650.00,1.851.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Alcoholic beverages,A.01.001534,67,48,231.47,309.71,0.00,0.00,125.00,902.50,1.165.00,1.452.50,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Drinking water (water without any additives except,A.01.001573,67,66,777.63,484.95,125.00,125.00,718.75,1.500.00,2.000.00,2.100.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Herbs. spices and condiments,A.01.001580,67,57,19.02,26.81,0.00,0.00,7.55,63.98,100.66,123.64,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Food for infants and small children,A.01.001715,67,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Products for special nutritional use,A.01.001748,67,1,0.19,1.53,0.00,0.00,0.00,0.00,0.00,12.50,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Composite food (including frozen products),A.01.001789,67,59,206.23,133.74,0.00,0.00,198.00,442.00,460.50,524.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Snacks. desserts. and other foods,A.01.001877,67,15,12.64,30.18,0.00,0.00,0.00,75.00,125.00,155.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Grains and grain-based products,A.01.000001,25,25,274.33,105.84,133.15,145.65,255.00,486.00,494.00,494.00,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Vegetables and vegetable products (including fungi,A.01.000317,25,21,98.56,94.48,0.00,0.00,68.75,270.50,308.88,308.88,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Starchy roots and tubers,A.01.000467,25,11,34.40,43.63,0.00,0.00,0.00,120.00,141.00,141.00,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Legumes. nuts and oilseeds,A.01.000486,25,5,7.54,24.31,0.00,0.00,0.00,50.00,113.50,113.50,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Fruit and fruit products,A.01.000544,25,24,159.98,119.33,7.50,17.50,153.00,370.00,394.50,394.50,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Meat and meat products (including edible offal),A.01.000727,25,20,84.43,78.62,0.00,0.00,86.00,229.00,237.15,237.15,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Fish and other seafood (including amphibians. rept,A.01.000876,25,6,20.08,38.85,0.00,0.00,0.00,99.50,99.50,99.50,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Milk and dairy products,A.01.000948,25,24,135.63,107.07,20.00,20.00,114.50,350.00,375.50,375.50,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Eggs and egg products,A.01.001252,25,6,9.00,17.32,0.00,0.00,0.00,45.00,60.00,60.00,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Sugar and confectionary,A.01.001267,25,20,9.94,10.41,0.00,0.00,6.54,25.50,37.50,37.50,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Animal and vegetable fats and oils,A.01.001346,25,23,19.38,14.44,0.00,0.41,19.30,47.24,54.30,54.30,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Fruit and vegetable juices,A.01.001394,25,8,57.20,105.09,0.00,0.00,0.00,300.00,375.00,375.00,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Non-alcoholic beverages (excepting milk based beve,A.01.001470,25,25,605.35,419.08,180.00,180.00,520.00,1.370.00,1.745.00,1.745.00,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Alcoholic beverages,A.01.001534,25,12,117.40,170.78,0.00,0.00,0.00,500.00,635.00,635.00,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Drinking water (water without any additives except,A.01.001573,25,25,1114.20,608.29,187.50,250.00,1.000.00,2.000.00,2.360.00,2.360.00,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Herbs. spices and condiments,A.01.001580,25,23,18.33,22.36,0.00,0.41,7.22,60.86,62.29,62.29,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Food for infants and small children,A.01.001715,25,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Products for special nutritional use,A.01.001748,25,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Composite food (including frozen products),A.01.001789,25,24,234.02,177.43,40.00,45.00,218.50,542.50,614.00,614.00,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Very elderly,Snacks. desserts. and other foods,A.01.001877,25,4,10.04,25.77,0.00,0.00,0.00,75.00,83.00,83.00,Number of observations lower than 60. the 95th and higher percentiles may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Grains and grain-based products,A.01.000001,128,128,263.45,86.69,116.98,141.86,255.20,403.38,421.20,434.01,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Vegetables and vegetable products (including fungi,A.01.000317,128,126,70.71,49.28,6.05,17.92,61.63,166.98,182.94,231.76,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Starchy roots and tubers,A.01.000467,128,97,45.81,48.24,0.00,0.00,35.32,140.62,160.10,183.33,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Legumes. nuts and oilseeds,A.01.000486,128,41,4.74,9.82,0.00,0.00,0.00,23.33,33.33,46.67,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Fruit and fruit products,A.01.000544,128,111,91.54,79.68,0.00,0.00,76.31,250.00,281.67,295.85,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Meat and meat products (including edible offal),A.01.000727,128,126,86.29,51.46,22.87,26.67,79.00,177.36,214.42,240.02,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Fish and other seafood (including amphibians. rept,A.01.000876,128,43,16.54,27.78,0.00,0.00,0.00,66.67,83.33,110.03,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Milk and dairy products,A.01.000948,128,124,286.77,187.77,21.79,45.91,272.21,616.06,729.33,969.78,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Eggs and egg products,A.01.001252,128,100,15.64,15.92,0.00,0.00,9.94,47.00,52.40,59.67,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Sugar and confectionary,A.01.001267,128,120,30.97,27.22,0.00,0.55,22.75,78.97,96.49,120.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Animal and vegetable fats and oils,A.01.001346,128,128,26.79,17.51,4.90,7.67,23.21,63.18,68.57,79.67,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Fruit and vegetable juices,A.01.001394,128,117,158.90,167.27,0.00,0.79,125.67,533.33,637.73,770.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Non-alcoholic beverages (excepting milk based beve,A.01.001470,128,101,188.70,194.14,0.00,0.00,134.17,516.67,633.33,753.33,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Alcoholic beverages,A.01.001534,128,43,3.62,11.59,0.00,0.00,0.00,11.44,28.98,83.33,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Drinking water (water without any additives except,A.01.001573,128,127,572.23,339.67,52.87,166.67,515.60,1.095.22,1.237.07,1.369.15,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Herbs. spices and condiments,A.01.001580,128,127,9.91,11.13,0.67,1.06,7.15,34.44,45.65,51.33,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Food for infants and small children,A.01.001715,128,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Products for special nutritional use,A.01.001748,128,3,5.21,35.85,0.00,0.00,0.00,0.00,0.00,166.67,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Composite food (including frozen products),A.01.001789,128,74,59.07,75.08,0.00,0.00,25.50,213.67,235.67,284.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Other children,Snacks. desserts. and other foods,A.01.001877,128,82,29.55,36.09,0.00,0.00,17.83,106.67,135.56,142.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Grains and grain-based products,A.01.000001,237,237,240.27,95.94,90.43,118.66,237.00,398.96,468.66,515.48,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Vegetables and vegetable products (including fungi,A.01.000317,237,216,59.63,53.48,0.00,2.47,45.46,157.26,212.89,254.21,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Starchy roots and tubers,A.01.000467,237,161,42.94,47.16,0.00,0.00,33.30,146.70,170.00,185.74,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Legumes. nuts and oilseeds,A.01.000486,237,39,2.59,8.06,0.00,0.00,0.00,16.61,24.09,33.89,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Fruit and fruit products,A.01.000544,237,185,68.57,74.44,0.00,0.00,50.00,236.00,283.33,304.27,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Meat and meat products (including edible offal),A.01.000727,237,227,97.35,59.31,14.00,28.25,89.00,200.25,235.97,281.01,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Fish and other seafood (including amphibians. rept,A.01.000876,237,60,11.85,29.96,0.00,0.00,0.00,66.33,103.12,132.67,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Milk and dairy products,A.01.000948,237,232,202.30,159.00,15.02,40.07,174.76,481.78,633.33,716.67,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Eggs and egg products,A.01.001252,237,164,12.91,17.91,0.00,0.00,5.80,52.86,66.28,74.86,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Sugar and confectionary,A.01.001267,237,189,17.21,20.27,0.00,0.00,11.67,58.50,70.47,94.31,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Animal and vegetable fats and oils,A.01.001346,237,229,20.26,15.03,1.23,3.62,17.12,52.85,57.82,66.06,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Fruit and vegetable juices,A.01.001394,237,173,124.33,167.98,0.00,0.00,56.67,425.00,500.00,666.67,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Non-alcoholic beverages (excepting milk based beve,A.01.001470,237,179,248.56,287.20,0.00,0.00,166.67,800.00,1.000.00,1.555.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Alcoholic beverages,A.01.001534,237,51,1.90,9.12,0.00,0.00,0.00,8.54,11.44,12.97,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Drinking water (water without any additives except,A.01.001573,237,228,534.36,400.90,3.63,77.14,443.33,1.297.71,1.437.16,1.700.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Herbs. spices and condiments,A.01.001580,237,229,7.11,9.30,0.20,0.48,3.01,29.11,40.10,43.69,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Food for infants and small children,A.01.001715,237,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Products for special nutritional use,A.01.001748,237,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Composite food (including frozen products),A.01.001789,237,157,60.33,69.91,0.00,0.00,40.00,200.00,250.00,288.33,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Children,Adolescents,Snacks. desserts. and other foods,A.01.001877,237,123,19.65,29.62,0.00,0.00,3.90,76.67,101.67,150.67,Number of observations lower than 300. the 99th may not be statistically robust
Belgium,Diet National 2004,Adolescents,Grains and grain-based products,A.01.000001,576,576,259.76,127.23,82.50,116.90,241.25,488.30,553.00,688.50, 
Belgium,Diet National 2004,Adolescents,Vegetables and vegetable products (including fungi,A.01.000317,576,528,94.59,84.56,0.00,3.00,76.68,258.15,328.05,376.50, 
Belgium,Diet National 2004,Adolescents,Starchy roots and tubers,A.01.000467,576,465,93.89,85.00,0.00,0.00,70.53,260.00,305.00,355.50, 
Belgium,Diet National 2004,Adolescents,Legumes. nuts and oilseeds,A.01.000486,576,131,8.57,20.03,0.00,0.00,0.00,51.00,77.50,90.00, 
Belgium,Diet National 2004,Adolescents,Fruit and fruit products,A.01.000544,576,380,87.73,108.37,0.00,0.00,59.83,309.85,378.50,450.50, 
Belgium,Diet National 2004,Adolescents,Meat and meat products (including edible offal),A.01.000727,576,554,109.53,79.33,10.00,23.85,94.75,255.40,288.50,334.75, 
Belgium,Diet National 2004,Adolescents,Fish and other seafood (including amphibians. rept,A.01.000876,576,188,15.09,29.81,0.00,0.00,0.00,75.50,99.50,135.00, 
Belgium,Diet National 2004,Adolescents,Milk and dairy products,A.01.000948,576,540,214.33,205.93,0.00,13.35,157.20,618.10,768.20,1.052.40, 
Belgium,Diet National 2004,Adolescents,Eggs and egg products,A.01.001252,576,227,9.64,20.52,0.00,0.00,0.00,60.40,75.00,96.00, 
Belgium,Diet National 2004,Adolescents,Sugar and confectionary,A.01.001267,576,464,32.32,34.64,0.00,0.00,22.73,95.00,115.50,151.50, 
Belgium,Diet National 2004,Adolescents,Animal and vegetable fats and oils,A.01.001346,576,561,19.42,20.97,0.80,2.30,12.83,58.20,77.00,98.00, 
Belgium,Diet National 2004,Adolescents,Fruit and vegetable juices,A.01.001394,576,284,115.54,193.87,0.00,0.00,0.00,475.00,600.00,937.50, 
Belgium,Diet National 2004,Adolescents,Non-alcoholic beverages (excepting milk based beve,A.01.001470,576,504,544.69,478.05,0.00,0.00,452.50,1.382.25,1.628.75,1.765.00, 
Belgium,Diet National 2004,Adolescents,Alcoholic beverages,A.01.001534,576,109,67.61,263.46,0.00,0.00,0.00,475.00,731.25,1.500.00, 
Belgium,Diet National 2004,Adolescents,Drinking water (water without any additives except,A.01.001573,576,471,572.08,549.02,0.00,0.00,450.00,1.628.00,1.875.00,2.100.00, 
Belgium,Diet National 2004,Adolescents,Herbs. spices and condiments,A.01.001580,576,507,40.51,49.43,0.00,0.00,25.70,129.60,172.55,285.75, 
Belgium,Diet National 2004,Adolescents,Food for infants and small children,A.01.001715,576,12,0.46,3.37,0.00,0.00,0.00,0.00,0.00,25.00, 
Belgium,Diet National 2004,Adolescents,Products for special nutritional use,A.01.001748,576,35,11.63,76.02,0.00,0.00,0.00,13.00,165.00,250.00, 
Belgium,Diet National 2004,Adolescents,Composite food (including frozen products),A.01.001789,576,336,80.89,117.21,0.00,0.00,28.63,301.50,379.75,525.00, 
Belgium,Diet National 2004,Adolescents,Snacks. desserts. and other foods,A.01.001877,576,298,26.86,39.29,0.00,0.00,10.00,105.00,132.75,165.00, 
Belgium,Diet National 2004,Adults,Grains and grain-based products,A.01.000001,1.292,1.287,234.77,125.20,71.15,96.50,212.10,464.55,532.95,615.90, 
Belgium,Diet National 2004,Adults,Vegetables and vegetable products (including fungi,A.01.000317,1.292,1.202,121.51,98.47,0.00,11.35,104.23,301.65,360.10,470.25, 
Belgium,Diet National 2004,Adults,Starchy roots and tubers,A.01.000467,1.292,1.038,95.48,84.33,0.00,0.00,71.63,255.50,296.50,341.50, 
Belgium,Diet National 2004,Adults,Legumes. nuts and oilseeds,A.01.000486,1.292,362,12.04,27.53,0.00,0.00,0.00,70.00,85.50,118.75, 
Belgium,Diet National 2004,Adults,Fruit and fruit products,A.01.000544,1.292,994,120.32,122.11,0.00,0.00,90.93,351.65,409.70,488.15, 
Belgium,Diet National 2004,Adults,Meat and meat products (including edible offal),A.01.000727,1.292,1.241,118.32,82.36,14.90,26.50,103.63,285.50,317.05,366.30, 
Belgium,Diet National 2004,Adults,Fish and other seafood (including amphibians. rept,A.01.000876,1.292,538,25.41,43.93,0.00,0.00,0.00,112.50,147.65,200.75, 
Belgium,Diet National 2004,Adults,Milk and dairy products,A.01.000948,1.292,1.218,174.05,176.78,0.00,16.15,130.25,492.60,593.95,881.80, 
Belgium,Diet National 2004,Adults,Eggs and egg products,A.01.001252,1.292,508,10.43,22.35,0.00,0.00,0.00,61.50,75.10,95.00, 
Belgium,Diet National 2004,Adults,Sugar and confectionary,A.01.001267,1.292,965,23.66,31.64,0.00,0.00,14.50,77.00,106.00,155.00, 
Belgium,Diet National 2004,Adults,Animal and vegetable fats and oils,A.01.001346,1.292,1.274,28.64,29.56,1.50,3.55,20.00,84.55,112.50,138.55, 
Belgium,Diet National 2004,Adults,Fruit and vegetable juices,A.01.001394,1.292,492,68.86,144.57,0.00,0.00,0.00,325.00,437.50,625.00, 
Belgium,Diet National 2004,Adults,Non-alcoholic beverages (excepting milk based beve,A.01.001470,1.292,1.247,716.87,537.09,112.50,191.25,602.50,1.687.50,1.962.50,2.540.00, 
Belgium,Diet National 2004,Adults,Alcoholic beverages,A.01.001534,1.292,692,208.39,370.97,0.00,0.00,41.25,925.00,1.250.00,1.625.00, 
Belgium,Diet National 2004,Adults,Drinking water (water without any additives except,A.01.001573,1.292,1.105,672.24,625.89,0.00,0.00,552.50,1.775.00,2.164.88,2.625.00, 
