area,branch,name,postalCode,street
Heidenau,,G.L.M. Grundbesitz GmbH,01809,August-Bebel-Str. 26
Dresden,,G.K. Haushaltgeräte & Möbel GmbH,01217,Julius-Scholtz-Str. 9
Plauen,,G.H.L. Handels GmbH & Co. Service KG,08523,Poststraße 1
Hamburg,,G.A.R.D. Arbeitsgemeinschaft Rettungsdienst Dresden GmbH,22043,Holstenhofweg 47 b
Dresden,,G.A. Group Produktion und Handel GmbH,01187,Zwickauer Str. 95
Dresden,,G. Heimann GmbH,01257,Berthold-Haupt-Str. 6
Dresden,,G. D. Baedeker GmbH & Co. KG,01187,Karlsruher Str. 83
Ebersbach OT Reinersdorf,,G. + S. Fensterbau Müller GmbH,01561,Am Anger 3
Görlitz,,G-S-D Gerhard Schoch Verwaltungs GmbH,02828,Am Flugplatz 19
Görlitz,,G-S-D Gerhard Schoch Druckgiesstechnik Vermögens GmbH,02828,Am Flugplatz 19
Görlitz,,G-S-D Gerhard Schoch Druckgiesstechnik Produktions GmbH (Neuer Firmenname: G-S-D Gerhard Schoch Druckgiesstechnik Vermögens GmbH),02828,Am Flugplatz 19
Görlitz,,G-S-D Gerhard Schoch Druckgiesstechnik Maschinenbau GmbH & Co.KG,02828,Am Flugplatz 19
Dresden OT Weißig,,G-Force2Net IT-Holding Ltd. & Co. KG,01328,Pillnitzer Straße 48 D
Dohna,,G+P Schiekel Beteiligungsgesellschaft mbH,01809,Gewerbering 2
Neuhaus am Rennweg,,G-A-T Gesellschaft für Abbruch & Tiefbau mbH,98724,Kalugaer Str. 23
Ebersbach OT Reinersdorf,,G+S Bautischlerei Müller GmbH,01561,Am Anger 3
Dresden,,G+J Vermietungsgesellschaft Sächsischer Verlag mbH,01067,Ostra-Allee 18
Dresden,,G&T Tanzhaus Erlebnisgastronomie Beteilungs GmbH,01067,Bremer Str. 57
Freital,,4EES GmbH,01705,Gemeindeweg 27 A
Dresden,,4centuries UG (haftungsbeschränkt) & Co. KG,01309,Reinickstr. 4
Dresden,,4A Service GmbH,01324,Bautzner Landstr. 20
Dresden,,450 Grad Verwaltungs GmbH (Neuer Firmenname: 450 Grad Holding GmbH),01159,Kesselsdorfer Str. 24 c
Dresden,,450 Grad Holding GmbH,01159,Kesselsdorfer Str. 24 c
Dresden,,44 Bricks UG (haftungsbeschränkt),01099,Königsbrücker Str. 69
Dresden,,420 Geeks UG (haftungsbeschränkt),01309,Bergmannstr. 21
Dresden,,450 Grad GmbH & Co. KG,01159,Kesselsdorfer Str. 24 c
Görlitz,,4 my Baby e.K.,02827,Erich-Oppenheimer-Str. 6c
Wittichenau,,4 W Verwaltungs GmbH,02997,Hornigsweg 1 b
Görlitz,,4 my Baby GmbH,02827,Erich-Oppenheimer-Str. 6
Niesky OT See,,4 HOME Möbel und Matratzen GmbH,02906,Am Brauweg 9-13
Lohmen,,4 B Verwaltungs-GmbH,01847,Daubaer Str. 3
Pirna,,3x media GmbH,01796,Hauptplatz 3
Dresden,,3T consult GmbH,01309,Brucknerstr. 9
Dresden,,"3V Finanz GmbH (Neuer Firmenname: S & K Vermögen GmbH. Geschäftsanschrift: Söbrigener Straße 3K, 01326 Dresden)",01326,Söbrigener Straße 3K
Pirna,,3t Logistik und Beratung GmbH (Neuer Firmenname: SteinReich Touristik und Beratung GmbH),01796,Lohmener Str. 11
Dresden,,3PES UG (haftungsbeschränkt),01097,Königsbrücker Platz 4
Dresden,,Gagliardi-Gastronomie-GmbH,01277,Zwinglistr. 22
Dresden,,Gaiamalcare UG (haftungsbeschränkt),01067,Josephinenstr. 4
,,Gaggalacka e.V.,,
Dresden,,GAEC German African Energy Council GmbH,01067,An der Frauenkirche 12
Berlin,,GAGE Vermögensverwaltung Unternehmensgesellschaft (haftungsbeschränkt) & Co. Biogaskraftwerk Zittau KG,10179,Holzmarktstr. 10
Hoyerswerda,,GAF Gesellschaft für Aus- und Fortbildung in Hoyerswerda mbH,02977,Industriegelände Str. E Nr. 34
Dresden,,"GAGFAH Facility Management Dresden GmbH (Neuer Firmenname: Vonovia Technischer Service Süd GmbH. Geschäftsanschrift: Königsbrücker Str. 6 b, 01099 Dresden)",01099,Königsbrücker Str. 6 b
Dresden,,GAD GmbH,01156,Gewerbepark Merbitz 6
Dresden,,Gabriele Terzi GmbH,01099,Löbauer Str. 4
Königstein,,Gabriele Schmidt Königstein e.K.,01824,Dresdner Str. 6 b
Sebnitz,,Gabriele Schmidt Sebnitz e.K.,01855,Rosenstr. 6
Dresden,,"GABRIELE HÄFNER GmbH (Neuer Firmenname: FISCHER Projektgesellschaft mbH. Geschäftsanschrift: Altseidnitz 9, 01277 Dresden)",01277,Altseidnitz 9
Freital,,G-Haus Kleinnaundorf e.V.,01705,Cunnersdorfer Str. 41
Dresden,,Gabriel GmbH,01099,Meschwitzer Str. 21
Berlin,,Gabler Vermögensverwaltungs GmbH & Co. KG,12205,Marthastr. 9
Berlin,,Gabler Vermögensverwaltungs GmbH & Co. KG,12205,Marthastr. 9
Großröhrsdorf OT Bretnig,,Gäbler Stahlhandel Stahlbau GmbH,01900,Gewerbering Nord 10
Berlin,,Gabler Immobilien Verwaltungs-GmbH,12205,Marthastr. 9
Berlin,,Gabler Immobilien Verwaltungs-GmbH,12205,Marthastaße 9
Dresden,,Gabler Immobilien GmbH & Co. KG,01324,Degelestr. 1
Großröhrsdorf OT Bretnig,,Gäbler & Gäbler GmbH & Co. KG,01900,Gewerbering Nord 10
Großröhrsdorf OT Bretnig,,Gäbler & Gäbler Beteiligungsgesellschaft mbH,01900,Gewerbering Nord Nr. 10
Radeberg,,Gabel-Automobile GmbH,01454,Dr.-Rudolf-Friedrichs-Str. 4
Weißwasser,,GAB Gesellschaft für Arbeits- und Berufsförderung mbH Weißwasser,02943,Heinrich-Hertz-Str. 1
Dresden,,Gaarzer Service UG (haftungsbeschränkt),01237,Dobritzer Str. 43
Zittau,,Gaalman United Company Ltd. & Co. KG,02763,Mandauer Berg 2
Dresden,,GA MAYER Generation + Konzept GmbH,01309,Bertolt-Brecht-Allee 4
Bautzen,,GAA - Prozeß- und Umwelttechnik GmbH,02625,Paulistr. 33
Dresden,,GA Marketing GmbH,01309,Vogesenweg 4
Dresden,,GA Handels UG (haftungsbeschränkt),01127,Maxim-Gorki-Str. 1
Berlin,,G.W.P. Handels und Projektmanagement Aktiengesellschaft,12277,Haus 2
Großdubrau OT Sdier,,G.U.T. Bergmann KG,02694,Bad Muskauer Str. 38
Stolpen,,G.S. Stolpen GmbH & Co. KG,01833,Ernst-Uhlemann-Str. 4
Stolpen,,G.S. Verwaltungs GmbH,01833,Ernst-Uhlemann-Str. 4
Dresden,,G.S. Meding GmbH & Co.KG,01108,Zur alten Ziegelei 4
Großharthau OT Schmiedefeld,,3NRG GmbH,01909,Hauptstr. 21
Dresden,,3m5 Media GmbH,01309,Loschwitzer Str. 37
Bannewitz OT Possendorf,,3i Fenster + Türen GmbH,01728,Am Spitzberg 11
Dresden,,3koepfe GmbH,01099,Louisenstr. 26
Duippoldiswalde OT Oberhäslich,,3i Trendline GmbH,01744,Dresdner Straße 27
Dresden,,3f Gesellschaft für Management- und Technologieberatung mbH,01187,Bamberger Str. 7
Essen,,3f Gesellschaft für Management- und Technologieberatung mbH,45130,Zweigertstr. 16
Dresden,,3F Form Farbe Fantasie UG (haftungsbeschränkt),01139,Fechnerstr. 29
Dresden,,3F Form Farbe Fantasie GmbH,01139,Fechnerstr. 29
Meißen,,3F Beteiligungs GmbH,01662,Hahnemannsplatz 1
Dresden,,3D Interaction Technologies GmbH,01307,Schubertstr. 39
Dresden,,3D Infotainment Technologies UG (haftungsbeschränkt),01307,Schubertstr. 39
Dresden,,3D-portraet.studio Onlinemarketing UG (haftungsbeschränkt),01187,Altplauen 11
Moritzburg,,3d Immobilienmanagement GmbH,01468,August-Bebel-Str. 1
Görlitz,,Game Place GmbH,02826,Schillerstr. 18
Dresden,,Gamesbroker Dresden UG (haftungsbeschränkt),01187,Hofmühlenstr. 71
Dresden,,Games & Fun GmbH,01277,Enderstr. 59
Görlitz,,Game Place UG (haftungsbeschränkt) (Neuer Firmenname: Game Place GmbH),02826,An der Frauenkirche 12
Dresden,,Game Over 21 Gesellschaft für Strategie- und Fernplanspiele mbH (Neuer Firmenname: auditex Verlag GmbH),01067,Könneritzstr. 25
Moritzburg,,GAMDIS GmbH,01468,August-Bebel-Str. 24
Schirgiswalde-Kirschau,,Gamba Aqua Farm GmbH,02681,Friesestr. 31
Dresden,,Galvano Dresden GmbH,01187,Bienertstraße 1
Pirna,,G.U.T. Pirna KG,01796,Zehistaer Str. 8
Dresden,,Galvanik Hentschel Verwaltungs GmbH,01159,Jagdweg 4
Dresden,,Galvanik Hentschel GmbH & Co. KG,01159,Jagdweg 4
Freital,,Galvanik Freital GmbH,01705,Poisentalstr. 45
Dresden,,Galopp Entertainment Dresden GmbH,01307,Fetscherplatz 5
Dresden,,G.U.N. Investment Consulting GmbH,01067,Ostra-Allee 27
,,Galeriedreissig e.V.,,
Dresden,,"Galerie und Kunsthandlung ""ART-ICALS"" e. K.",01099,Martin-Luther-Str. 11
Dresden,,GALERIE HIMMEL e. K.,01097,Obergraben 8
Riesa,,Galeria Apotheke,01587,A.-Puschkin-Platz 10 a
Bautzen,,Galabau Volkmar Schmitt KG,02625,Spittelwiesenweg 37
Meißen,,Galabau und Bauservice Meißen GmbH,01662,Neuzaschendorf Nr. 3
Dresden,,Galenus-Apotheke Inhaberin: Ilona Schmidt,01099,Hoyerswerdaer Str. 40
Klipphausen,,Galabau Schurig UG (haftungsbeschränkt),01665,Talstr. 6
Hainewalde,,GALABAU GERLACH KG,02779,Talstr.103
Niederau,,GaLaBau Fichtner KG,01680,Scheringstr. 20
Dresden,,Gala Poseur d´Armatures Spécialisé en Eolienne GmbH,01129,Reichenberger Str. 11
Dresden,,Gala Baustahlarmierung GmbH,01129,Reichenberger Str. 11
Elsterheide OT Seidewinkel,,GaLaBau Elsterheide UG (haftungsbeschränkt),02979,Spreewitzer Weg 3
Klipphausen,,GaLaBau Dienstleistung Sachsen GmbH,01665,Hamburger Ring 1 b
Glaubitz,,Gal Personal GmbH,01612,Langenberger Str. 24
Glaubitz,,Gál e. K.,01612,Langenberger Str. 24
Dortmund,,Gailmann Industries UG (haftungsbeschränkt),44369,Jungferntalstr. 112
Zittau,,Gaiatreeschool e.V.,02763,Christian-Keimann-Str. 26
Glaubitz,,Gál Personal GmbH,01612,Langenberger Str. 24
Dresden,,3C Deutschland Nord GmbH,01099,Königsbrücker Str. 67
Dresden,,3C Deutschland GmbH,01099,Königsbrücker Str. 67
Dresden,,3A-BAD barrierefrei Dresden GmbH & Co. KG,01099,Provianthofstr. 1
Löbau,,360AIRONE GmbH,02708,Vorwerkstr. 26
,,360 Gramm e.V.,,
Dresden,,3B Dienstleistung Dresden GmbH,01187,Chemnitzer Str. 48
Dresden,,3-5 Power Electronics GmbH,01217,Gostritzer Str. 61-63
Wilsdruff OT Kesselsdorf,,34U GmbH,01723,Am Wüsteberg 13 b
Bannewitz OT Possendorf,,3 S Vertrieb GmbH & Co. KG,01728,Untere Bergstr. 4
Bannewitz OT Possendorf,,3 S Management GmbH,01728,Untere Bergstr. 4
Dresden,,3 D Edelstahl Maschinen- und Apparatebau GmbH,01139,Am Trachauer Bahnhof 6 b
Dresden,,2_ECK Architekten Leschik und Barnitzki GmbH,01097,Leipziger Str. 13 b
Coswig,,Garagengemeinschaft Coswig Seestraße 277/6 e.V.,01640,Kamerunweg 6
,,Garagengemeinschaft Blick zum Kohlberg e.V.,,
Dresden,,GARANTICA Wohnwerte GmbH,01159,Frankfurter Str. 8
,,Garagengemeinschaft - Am Bauernweg - Röderau e.V.,,
Löbau,,GARANT Transportdienstleistung GmbH,02708,Weststr. 14
Dresden,,GARANTIS - Verwaltungs GmbH,01239,Erna-Sack-Str. 9 A
Weißwasser,,Garreis GmbH,02943,Dr.-Altmann-Str. 1
Dresden,,GARANTIS GmbH & Co. KG,01067,Könneritzstr. 7
Dresden,,GARTEN & TEAKDESIGN GmbH Park- und Garteneinrichtungen Accessoires,01309,Lipsiusstr. 12
Lehesten,,Garbe immo.plan e.Kfm.,07778,Am Müllergraben 2
Löbau,,Garant International GmbH,02708,Weststr. 14
Dresden,,GaRo-Systeme GmbH,01324,Kurparkstr. 8
Dresden,,Gardinen-Studio BB Barbara Branzke e.K.,01159,Kesselsdorfer Str. 24 c
,,Garagenverein Am Quellenberg B,,
Dresden,,"Garagennutzerverein ""Neu-Leuben I"" Dresden e.V.",01239,Inger-Karen-Str. 4a
Pirna,,"Garagenhof 8 ""Am Mädelgraben"" e.V.",01796,Reutlinger Str. 23
Puschwitz,,Garagengemeinschaft Wetro Siedlung e.V.,02699,Wetro Siedlung 8 b
,,Garagengemeinschaft Julius-Mißbach-Straße/Johannisgasse e.V.,,
Görlitz,,Garagengemeinschaft Görlitz-Weinhübel UG (haftungsbeschränkt),02827,Seidenberger Str. 33
,,"Garagengemeinschaft ""Am Abzweig"" e.V.",,
Heidenau,,Garagen Söbrigener Weg e.V.,01809,Gamigstr. 21
Dresden,,Gara Bau GmbH,01217,Walter-Arnold-Str. 17
Coswig,,GAP Gesellschaft für Ausbildung in der Psychotherapie mbH,01640,Bahnhofstr. 6
Freital,,Ganzheitliches Gesundheits-,01705,Gustav-Klimpel-Str. 11
Neustadt i,,Gantze Logistik GmbH,01844,Ziegeleistr. 24
Brand-Erbisdorf,,GAN Verwaltungs GmbH,09618,Großhartmannsdorfer Str. 43
Königswartha,,"Gano Verwaltungsgesellschaft mbH (Neuer Firmenname: lawego gmbH. Neuer Sitz: Königswartha. Änderung der Geschäftsanschrift: Ziegelstr. 2, 02699 Königswartha)",02699,Ziegelstr. 2
Dresden,,Gangart Gesellschaft für Erlebnismarketing mbH,01159,Cottaer Str. 6d
Radeberg,,Gamma-Service-Produktbestrahlung GmbH,01454,Juri-Gagarin-Str. 15
Dresden,,GAMMA IMMOBILIEN-Vermietungs und Verwaltungs GmbH,01069,Prager Straße 2 a
Dresden,,Gamma Immobilien-Besitz und Beteiligungs GmbH,01069,Prager Str. 2a
Dresden,,Gamma City Automaten UG (haftungsbeschränkt) (Neuer Firmenname: Gamebox UG (haftungsbeschränkt)),01099,Radeberger Str. 46
Großpostwitz,,2x77 UG (haftungsbeschränkt),02692,Hainweg 2
Sebnitz,,2Pnet DE GmbH,01855,Hertigswalde 96
Dresden,,2MG Consulting GmbH,01069,Kaitzer Str. 18
Zittau,,2M-Bau UG (haftungsbeschränkt),02763,Hochwaldstr. 25
Pirna,,2M Dienstleistungs & Handels UG (haftungsbeschränkt),01796,Mühlenstr. 11
Dresden,,2Limit GmbH,01067,Weißeritzstr. 3
Dresden,,2L Capital UG (haftungsbeschränkt) (Neuer Firmenname: 2L Capital GmbH),01309,Spittastr. 2
Dresden,,2L Capital GmbH Steuerberatungsgesellschaft,01067,Maxstr. 8
Dresden,,2L Capital GmbH (Neuer Firmenname: 2L Capital GmbH Steuerberatungsgesellschaft),01309,Augsburger Str. 32
Dresden,,2i² Ingenieurgesellschaft Dr. Hennig und Partner,01108,Hohenbusch-Markt 1
Dresden,,2i² Ingenieurgesellschaft Dr. Hennig & Partner,01108,Hohenbusch-Markt 1
Dresden,,2CM-Immobilienkonzepte GmbH & Co. KG,01187,Bernhardstr. 107
Dresden,,2CM Verwaltungs- und Beteiligungs GmbH,01187,Bernhardstr. 107
Dresden,,2CM Bauträger GmbH & Co. KG,01187,Bernhardstr. 107
Bautzen,,24pm Werbeagentur GmbH,02625,Vor dem Schülertor 1
,,21Erleben e.V.,,
Leipzig,,21.finance GmbH,04105,Eutritzscher Str. 41
Dresden,,21 advertise GmbH,01097,Lärchenstr. 7
Dresden,,20squares UG (haftungsbeschränkt),01067,Könneritzstr. 25
Dresden,,20minutes GmbH,01159,Reisewitzer Str. 20
Dresden,,Garten kreativ GmbH,01157,Flensburger Str. 100
Gaußig,,Garten Elektrotechnik GmbH,02633,Mittelweg 2
Rothenburg,,GAS - Global Aviation Services GmbH,02929,Flugplatz Rothenburg O.L. Friedensstr. 113
Dresden,,Gartenstadt - Gesellschaft Hellerau AG gegr. 1908,01109,Markt 2
Dohna,,Gärtner´s Motorrad-Shop Verwaltungs GmbH,01809,Heinrich-Heine-Str. 9/10
Dresden,,Gärtnerkooperation Sachsen GmbH,01189,Coschützer Höhe 3
Kottmar OT Ottenhain,,Gärtner Hygiene e.Kfm. Inhaber Falk Gärtner,02708,Hauptstr. 6 a
Dresden,,Gartinex GmbH,01277,Bodenbacher Str. 81
Dresden,,Gartenstadt - Gesellschaft Hellerau mit beschränkter Haftung,01109,Markt 2
Leipzig,,Gartenstadt Beteiligungsgesellschaft Potsdam mbH,04107,Karl-Tauchnitz-Str. 2
Radibor OT Schwarzadler,,Gartenmarkt GmbH Schwarzadler,02627,Gewerbegebiet Nr. 1a
Berlin,,Gastro Invest GmbH,12555,Haus 210/22
Dresden,,Gastro-Service & Spätimbisz Dresden UG (haftungsbeschränkt),01097,Eschenstr. 9
Dresden,,Gastro-Service GmbH Ulrich Hesse (Neuer Firmenname: Bau & Design Roßband GmbH. Neuer Sitz: Dresden),01097,Conradstr. 32-34
Dresden,,Gastro-Service-Profis-Dresden GmbH,01139,Scharfenberger Str. 151
Dresden,,Gastro-Second-Hand-Geschäftsführungs GmbH (Neuer Firmenname: W.O.K. Gastronomie-Geschäftsführungs-GmbH),01099,Bautzner Straße 1
Weimar,,GASTRO-SCHLÜSSEL AG,99425,An der Kirche 2/20
Lindenau,,Gastro-Schiebocks 3 UG (haftungsbeschränkt),01945,Hauptstr. 18
Kesselsdorf,,"GASTRO-Gesellschaft Königswald GmbH (Neuer Firmenname: SYS Bau Sächsische Systembau GmbH. Neuer Sitz: Kesselsdorf. Geschäftsanschrift: Teichweg 4, 01723 Kesselsdorf)",01723,Teichweg 4
Dresden,,Gastro-Gerätebau GmbH,01156,Grüner Weg 29
Herford,,Gastro-Concept GmbH,32052,Kurfürstenstr. 2-4
Lauta,,Gastro-Betreibergesellschaft Andreas Witschaß UG (haftungsbeschränkt),02991,Dorfstr. 1
Weißwasser,,Gastro Weißwasser UG (haftungsbeschränkt),02943,Wolfgangstraße 40a
Radebeul,,Gastro Verleih Dresden GmbH,01445,Weinbergstr. 48
Dresden,,Gastro International UG (haftungsbeschränkt),01097,Wallgässchen 2
Pulsnitz,,Gastro Crew UG (haftungsbeschränkt),01896,Robert-Koch-Str. 23
Dresden,,Gastro am Landhaus GmbH,01067,Wilsdruffer Str. 4-6
Dresden,,Gastro am Landhaus Betriebsgesellschaft UG (haftungsbeschränkt),01067,Wilsdruffer Str. 4-6
Elsterheide OT Nardt,,"Gasthof/Pension ""Heideland"" GmbH",02979,An den Linden 1
Oybin OT Luftkurort Lückendorf,,"Gasthof und Herberge ""Alte Schmiede"" Lückendorf GmbH",02797,Gabler Str. 8
Pirna,,Gasthaus Weißes Roß GmbH,01796,Königsteiner Str. 3
Bannewitz OT Possendorf,,Gasthaus Rundteil UG (haftungsbeschränkt),01728,Rundteil 5
Dresden,,Gästezimmer Heldner KG,01139,Leipziger Str. 190
Dresden,,Gästezimmer Dresden GmbH,01139,Leipziger Str. 190
,,Gastfreunde Dresden e.V.,,
Görlitz,,Gästehaus Lisakowski KG,02826,Landeskronstr. 23
Rostock,,Gästehaus Brecht-Tower Rostock Betriebsgesellschaft mbH,18055,Strandstr. 99
Dresden,,Gasim Holding GmbH,01099,Bautzner Str. 121
Rothenburg,,GASI Global Avation Services Interior GmbH,02929,Friedensstr. 113
Dresden,,Gasantrieb Dresden e.K.,01067,Hamburger Straße 65 a
Kreischa OT Lungkwitz,,Gas Grahl GmbH,01731,Spitzbergstraße 1
Krauschwitz,,Gas - Wasser - Heizung Installationsbetrieb Melcher GmbH,02957,Zum Barbaraturm 6
Ebersbach-Neugersdorf,,Gartenbau Wünsche e.K.,02727,Frauenstr. 8
Dresden,,Gartenstadt Potsdam GmbH,01109,Markt 2
Dresden,,Gartenbau Rülcker GmbH,01219,Reicker Str. 43
Bahretal,,Gartenatelier Green Vision deutsche Zweigniederlassung einer englischen Private Company Limited by Guarantee,01819,Göppersdorfer Str. 32
Nossen OT Starbach,,Garten-und Landschaftsbau Herfurth GmbH,01683,Rüsseinaer Str. 7
Zittau,,Garten- und Landschaftspflege Aust GmbH,02763,Blumenstr. 1
Obergurig,,Garten- und Landschaftsbau Wehle GmbH,02692,Schlungwitzer Str. 1b
Schöpstal OT Ebersbach,,Garten- und Landschaftsgestaltung,02829,Königshainer Weg 48
Heidenau,,Garten- und Landschaftsbau Sven Strauß e.K.,01809,Dresdner Str. 109
Glashütte OT Oberfrauendorf,,Garten- und Landschaftsbau Seiffert e.K.,01768,An der Lockwitz 73 A
Radeberg,,Garten- und Landschaftsbau Scholz GmbH,01454,Langebrücker Str. 13 A
Marlow,,GAV Gesellschaft für Anlagen und Verwaltungen GmbH,18337,Carl-Kossow-Str. 46
,,Gateways Beyond Germany e.V.,,
